p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	threshold
GGH	5.39188900349569e-24	-1.38915543553335	0.042	0.112	9.71294885089713e-20	Myeloid cell	GGH	Down
YEATS4	5.39660489470683e-24	-1.06263197901524	0.083	0.175	9.72144405732488e-20	Myeloid cell	YEATS4	Down
P2RX1	5.65163726381183e-24	1.71660574882081	0.143	0.043	1.01808593670306e-19	Myeloid cell	P2RX1	Up
ATP5L	6.36148090249566e-24	-0.414734912296113	0.492	0.644	1.14595716977557e-19	Myeloid cell	ATP5L	Down
HNRNPDL	6.76583233648305e-24	-0.466582551641331	0.457	0.61	1.21879703709406e-19	Myeloid cell	HNRNPDL	Down
EBNA1BP2	9.04770814995755e-24	-1.21787001808619	0.06	0.139	1.62985414613335e-19	Myeloid cell	EBNA1BP2	Down
NME1	9.11057092494932e-24	-1.01578711555558	0.085	0.177	1.64117824642037e-19	Myeloid cell	NME1	Down
LMO2	1.00996207349712e-23	1.35207726349865	0.194	0.081	1.81934567919771e-19	Myeloid cell	LMO2	Up
TIMM10	1.0176094799774e-23	-1.18067150029736	0.067	0.151	1.83312171723129e-19	Myeloid cell	TIMM10	Down
SGO1	1.15559812016343e-23	-1.99251733623273	0.019	0.069	2.08169445366241e-19	Myeloid cell	SGO1	Down
BCL7A	1.22928352140344e-23	-1.85735775295109	0.017	0.066	2.21443133545616e-19	Myeloid cell	BCL7A	Down
VRK1	1.24990068011118e-23	-1.02581283374084	0.101	0.198	2.25157108515228e-19	Myeloid cell	VRK1	Down
FANCD2	1.25632048216305e-23	-1.28895589852308	0.048	0.12	2.26313571656852e-19	Myeloid cell	FANCD2	Down
CCDC34	1.41617954752701e-23	-2.09295497607804	0.014	0.06	2.55110583691516e-19	Myeloid cell	CCDC34	Down
SGO2	1.45960109936185e-23	-1.41458397382721	0.055	0.131	2.62932542039043e-19	Myeloid cell	SGO2	Down
TOPBP1	1.531223908669e-23	-0.862512685050067	0.117	0.222	2.75834674907634e-19	Myeloid cell	TOPBP1	Down
TIMELESS	1.53240641205881e-23	-1.62762532226813	0.029	0.089	2.76047691068273e-19	Myeloid cell	TIMELESS	Down
NDUFC2	1.6049652779797e-23	-0.690651502978488	0.209	0.337	2.89118445175264e-19	Myeloid cell	NDUFC2	Down
DDIT3	1.93757358107954e-23	1.7165807668722	0.17	0.065	3.49034504895669e-19	Myeloid cell	DDIT3	Up
HIST1H4H	2.90437477475052e-23	-2.46644852456514	0.01	0.05	5.23194071923559e-19	Myeloid cell	HIST1H4H	Down
C11orf58	3.04841578750589e-23	-0.516690307917228	0.406	0.548	5.4914161996131e-19	Myeloid cell	C11orf58	Down
NDUFAF2	3.43298481151951e-23	-1.3577066856304	0.053	0.128	6.18417883947124e-19	Myeloid cell	NDUFAF2	Down
RFK	3.76996647805e-23	-1.10128333583718	0.065	0.147	6.79121761355926e-19	Myeloid cell	RFK	Down
SOCS3	4.06848352475503e-23	-1.41104200264388	0.037	0.102	7.32896622149371e-19	Myeloid cell	SOCS3	Down
MBD2	4.60174820767275e-23	-0.739893498407922	0.161	0.277	8.2895892213017e-19	Myeloid cell	MBD2	Down
QPCT	4.7643356771401e-23	-1.80238347744638	0.023	0.076	8.58247428880017e-19	Myeloid cell	QPCT	Down
CD109	5.14849173420037e-23	-2.18755346382205	0.012	0.055	9.27449300998855e-19	Myeloid cell	CD109	Down
PNRC1	5.34723136291912e-23	0.897117223820626	0.349	0.216	9.63250257716251e-19	Myeloid cell	PNRC1	Up
CTSS	5.77147441273124e-23	0.541977075550178	0.796	0.751	1.03967340070941e-18	Myeloid cell	CTSS	Up
PLAUR	6.11702475015202e-23	-0.918512941503134	0.178	0.291	1.10192083849239e-18	Myeloid cell	PLAUR	Down
TMX4	6.50025194658311e-23	-0.823142037613179	0.229	0.353	1.17095538565748e-18	Myeloid cell	TMX4	Down
TIMP1	7.09895751565441e-23	1.42818528444295	0.203	0.092	1.27880620686999e-18	Myeloid cell	TIMP1	Up
HNRNPU	7.21344209731994e-23	-0.430310376710676	0.527	0.669	1.29942945941121e-18	Myeloid cell	HNRNPU	Down
GYPC	8.27935235720123e-23	-1.16499293223307	0.063	0.143	1.49144253362623e-18	Myeloid cell	GYPC	Down
MTMR11	8.89538049571527e-23	-1.53820815020802	0.034	0.096	1.60241384249815e-18	Myeloid cell	MTMR11	Down
RAPGEF2	9.26572270195669e-23	-1.1651647395938	0.077	0.163	1.66912728753048e-18	Myeloid cell	RAPGEF2	Down
RHOB	9.93999721356588e-23	1.73812854754057	0.16	0.058	1.79059109805176e-18	Myeloid cell	RHOB	Up
HSP90AB1	1.07722079294508e-22	-0.413936164400278	0.551	0.68	1.94050553641126e-18	Myeloid cell	HSP90AB1	Down
CCNB1	1.20527269302707e-22	-1.99174164158892	0.017	0.065	2.17117822921896e-18	Myeloid cell	CCNB1	Down
GTF3C6	1.34780258951721e-22	-0.879787574262294	0.105	0.202	2.42793158475631e-18	Myeloid cell	GTF3C6	Down
NAP1L1	1.5356021050887e-22	-0.429974470413302	0.563	0.696	2.76623363210679e-18	Myeloid cell	NAP1L1	Down
MT-ND1	1.59752629455255e-22	-0.342856716676808	0.65	0.789	2.87778386700697e-18	Myeloid cell	MT-ND1	Down
DHX9	1.90197810581274e-22	-0.770787899101136	0.181	0.297	3.42622335981107e-18	Myeloid cell	DHX9	Down
MCEMP1	2.02034437858373e-22	-0.920451430533947	0.096	0.19	3.63944836358073e-18	Myeloid cell	MCEMP1	Down
THOC7	2.11603832025865e-22	-0.687350234500142	0.196	0.319	3.81183143011393e-18	Myeloid cell	THOC7	Down
NR4A1	2.28530308387141e-22	-1.61617965684634	0.026	0.082	4.11674497528596e-18	Myeloid cell	NR4A1	Down
B3GNT7	2.32004569662459e-22	-3.14354266275395	0.004	0.032	4.17933031789953e-18	Myeloid cell	B3GNT7	Down
SVIP	2.63039168347991e-22	-1.03654567572237	0.066	0.147	4.73838757862071e-18	Myeloid cell	SVIP	Down
PLCL2	2.70362157334999e-22	-1.28035712030059	0.046	0.115	4.87030390223267e-18	Myeloid cell	PLCL2	Down
FOSB	2.70421875806095e-22	-0.734404668145665	0.182	0.3	4.87137967077099e-18	Myeloid cell	FOSB	Down
FCGR2A	3.17596971845605e-22	1.2736087253472	0.195	0.085	5.72119185082673e-18	Myeloid cell	FCGR2A	Up
MIR4458HG	3.24499417307275e-22	-3.16779020900063	0.003	0.028	5.84553250337326e-18	Myeloid cell	MIR4458HG	Down
MTSS1	3.49305309100363e-22	2.10395212871852	0.114	0.028	6.29238583813393e-18	Myeloid cell	MTSS1	Up
SMIM3	3.81675744397278e-22	1.52647093421134	0.181	0.076	6.87550685957256e-18	Myeloid cell	SMIM3	Up
CKAP5	4.17511778047569e-22	-1.38513697678721	0.06	0.135	7.52105716974891e-18	Myeloid cell	CKAP5	Down
PDK4	4.66430691787637e-22	2.73437797636549	0.096	0.017	8.40228248186249e-18	Myeloid cell	PDK4	Up
SMIM19	4.77693139268515e-22	-1.08126095303286	0.081	0.167	8.60516421078303e-18	Myeloid cell	SMIM19	Down
HNRNPH1	4.84612910981971e-22	-0.45187360178446	0.454	0.596	8.72981697842922e-18	Myeloid cell	HNRNPH1	Down
IQGAP3	5.08443420579617e-22	-1.82901860394985	0.022	0.073	9.15909977832123e-18	Myeloid cell	IQGAP3	Down
HLA-DRB6	5.2856576501895e-22	1.15546755882961	0.259	0.141	9.52158369105137e-18	Myeloid cell	HLA-DRB6	Up
NDUFA6	5.32495411000564e-22	-0.69821104520792	0.218	0.34	9.59237233376415e-18	Myeloid cell	NDUFA6	Down
CFP	5.65266624890622e-22	1.10345622941282	0.23	0.115	1.01827129807797e-17	Myeloid cell	CFP	Up
EXO1	6.30750750992017e-22	-2.64805533105509	0.006	0.039	1.13623440283702e-17	Myeloid cell	EXO1	Down
DNAJB5	8.12620927839704e-22	-4.47521873419287	0.001	0.021	1.46385533941044e-17	Myeloid cell	DNAJB5	Down
NABP1	8.13824009254968e-22	2.02630421793346	0.12	0.033	1.4660225702719e-17	Myeloid cell	NABP1	Up
FAM213A	8.39831828951534e-22	-2.76203052330979	0.005	0.034	1.51287305667329e-17	Myeloid cell	FAM213A	Down
POMC	9.02320214205158e-22	-2.93005724152969	0.004	0.032	1.62543963386917e-17	Myeloid cell	POMC	Down
PKIB	9.27366402802765e-22	3.5368819819587	0.077	0.007	1.6705578380089e-17	Myeloid cell	PKIB	Up
PCOLCE2	9.28191061422332e-22	6.9354975994114	0.063	0	1.67204337804619e-17	Myeloid cell	PCOLCE2	Up
ZWINT	9.76987122646794e-22	-1.84245551267001	0.016	0.061	1.75994460273593e-17	Myeloid cell	ZWINT	Down
XBP1	1.13107157218698e-21	-0.767388056090178	0.205	0.321	2.03751233013762e-17	Myeloid cell	XBP1	Down
BCL2	1.25164347139378e-21	-1.62287242717487	0.021	0.071	2.25471054936875e-17	Myeloid cell	BCL2	Down
SMC3	1.25699227664844e-21	-0.7828884276951	0.188	0.302	2.2643458871545e-17	Myeloid cell	SMC3	Down
MT-ND4L	1.37697728021104e-21	-0.385765144674553	0.585	0.732	2.48048687257217e-17	Myeloid cell	MT-ND4L	Down
VDAC1	1.52497629085357e-21	-0.826993220492718	0.136	0.241	2.74709229034362e-17	Myeloid cell	VDAC1	Down
CEBPD	1.96656448133566e-21	-0.531872811718935	0.257	0.389	3.54256925667805e-17	Myeloid cell	CEBPD	Down
MAFB	2.02588201190739e-21	1.54704236667599	0.201	0.095	3.64942385624998e-17	Myeloid cell	MAFB	Up
HIST1H2AC	2.16093376055103e-21	2.43396844373268	0.1	0.021	3.89270607625663e-17	Myeloid cell	HIST1H2AC	Up
DOK2	2.16733957428321e-21	1.86226379717296	0.128	0.039	3.90424550911378e-17	Myeloid cell	DOK2	Up
HAT1	2.21213941073489e-21	-0.909814746902478	0.098	0.189	3.98494793449784e-17	Myeloid cell	HAT1	Down
CLEC2B	2.39430074281549e-21	1.20188396136675	0.281	0.163	4.31309335810783e-17	Myeloid cell	CLEC2B	Up
SMAD7	2.60406858870459e-21	-3.33771521044294	0.002	0.027	4.69096915569246e-17	Myeloid cell	SMAD7	Down
SLC26A2	2.65574032293876e-21	-1.50509737721304	0.04	0.103	4.78405061774189e-17	Myeloid cell	SLC26A2	Down
CCT5	2.6806277940236e-21	-0.632390071033056	0.232	0.356	4.82888290815411e-17	Myeloid cell	CCT5	Down
METRNL	2.69881731298435e-21	-1.25599081300848	0.04	0.105	4.86164950761001e-17	Myeloid cell	METRNL	Down
LGALS2	2.78599348599573e-21	1.61013655813112	0.177	0.076	5.01868866567271e-17	Myeloid cell	LGALS2	Up
ATAD2	2.92046460919662e-21	-0.829373991324694	0.118	0.216	5.2609249470068e-17	Myeloid cell	ATAD2	Down
ING2	3.24951106054432e-21	-1.10293906465066	0.076	0.159	5.85366922446454e-17	Myeloid cell	ING2	Down
NCAPD2	3.49221574669193e-21	-1.31001614299296	0.048	0.116	6.29087744609085e-17	Myeloid cell	NCAPD2	Down
TMEM64	3.56637126470181e-21	-2.3121801183358	0.009	0.044	6.42446119623384e-17	Myeloid cell	TMEM64	Down
CBX5	3.75861412324469e-21	-0.908515793225056	0.127	0.226	6.77076748161299e-17	Myeloid cell	CBX5	Down
BZW1	4.2411145166298e-21	-0.431912210092025	0.394	0.54	7.63994369025691e-17	Myeloid cell	BZW1	Down
CCL5	4.24915733763185e-21	1.57851324974492	0.117	0.032	7.65443202801002e-17	Myeloid cell	CCL5	Up
CREM	4.24933023809034e-21	-2.02737508983079	0.018	0.063	7.65474349089594e-17	Myeloid cell	CREM	Down
HNRNPD	4.37401294092646e-21	-0.535515372581648	0.285	0.418	7.87934691178493e-17	Myeloid cell	HNRNPD	Down
IFI6	6.08128529437634e-21	1.64677820328955	0.136	0.045	1.09548273292895e-16	Myeloid cell	IFI6	Up
HIST1H2BM	8.42983457323539e-21	-3.35458902900733	0.003	0.027	1.51855040002262e-16	Myeloid cell	HIST1H2BM	Down
GSTK1	1.04070080636798e-20	0.957549219955637	0.308	0.189	1.87471843259129e-16	Myeloid cell	GSTK1	Up
ST8SIA4	1.13274498920838e-20	1.32511021589838	0.178	0.076	2.04052682355997e-16	Myeloid cell	ST8SIA4	Up
FERMT3	1.36364153762283e-20	1.20199752466533	0.207	0.1	2.45646386587377e-16	Myeloid cell	FERMT3	Up
MGLL	1.37403380986115e-20	2.07836003899998	0.095	0.019	2.47518450508388e-16	Myeloid cell	MGLL	Up
JOSD1	1.51019242188961e-20	-1.09665496125124	0.076	0.157	2.72046062879194e-16	Myeloid cell	JOSD1	Down
RBX1	1.98545265320743e-20	-0.591289287027665	0.212	0.333	3.57659440948787e-16	Myeloid cell	RBX1	Down
HCST	2.15122346320563e-20	0.900836510191513	0.309	0.188	3.87521394661863e-16	Myeloid cell	HCST	Up
NCOA4	2.16069026233353e-20	0.670600752419603	0.474	0.356	3.89226743856762e-16	Myeloid cell	NCOA4	Up
MFSD14B	2.17531338912901e-20	-1.29485973148114	0.049	0.116	3.918609539177e-16	Myeloid cell	MFSD14B	Down
S100B	2.40963958390149e-20	4.48246375197225	0.071	0.006	4.34072474644014e-16	Myeloid cell	S100B	Up
ABHD17C	2.65107271898421e-20	-3.52480076304343	0.002	0.025	4.77564239597816e-16	Myeloid cell	ABHD17C	Down
PA2G4P4	2.91831604505341e-20	-1.25945619652244	0.041	0.103	5.25705452355922e-16	Myeloid cell	PA2G4P4	Down
RSRC1	3.07449728401621e-20	-0.729378201347973	0.164	0.272	5.5383994074268e-16	Myeloid cell	RSRC1	Down
CYCS	3.09364138256097e-20	-0.688656705426159	0.205	0.319	5.57288558654532e-16	Myeloid cell	CYCS	Down
TP53INP2	3.6946655155288e-20	3.68251685824153	0.075	0.009	6.65557045967359e-16	Myeloid cell	TP53INP2	Up
CTSL	4.02304110709519e-20	2.76432297031115	0.078	0.01	7.24710625032128e-16	Myeloid cell	CTSL	Up
YPEL2	4.31593207919941e-20	2.09969010186436	0.106	0.027	7.77472004746983e-16	Myeloid cell	YPEL2	Up
NDUFS6	4.73074221593625e-20	-0.862231186520275	0.11	0.203	8.52195902778756e-16	Myeloid cell	NDUFS6	Down
CDK14	4.75840422584585e-20	-2.46509451691916	0.007	0.04	8.57178937243871e-16	Myeloid cell	CDK14	Down
NOP10	4.77786371071314e-20	-0.771091352763649	0.173	0.281	8.60684368847865e-16	Myeloid cell	NOP10	Down
KDM5B	4.79593280208956e-20	2.3910298769183	0.095	0.02	8.63939334968413e-16	Myeloid cell	KDM5B	Up
MND1	6.61341712616368e-20	-1.70766482019324	0.02	0.066	1.19134096110713e-15	Myeloid cell	MND1	Down
HIST2H2BE	7.88522894808887e-20	2.85262933223831	0.082	0.013	1.42044514270873e-15	Myeloid cell	HIST2H2BE	Up
CAPZA1	8.8630564538728e-20	-0.410436617834339	0.521	0.647	1.59659098960065e-15	Myeloid cell	CAPZA1	Down
ACTL6A	8.94064670824428e-20	-1.19001225443151	0.047	0.113	1.61056809802313e-15	Myeloid cell	ACTL6A	Down
GINS1	9.87515347849725e-20	-2.18571211699789	0.011	0.048	1.77891014761649e-15	Myeloid cell	GINS1	Down
GRN	1.00689718041053e-19	0.725811867490301	0.474	0.368	1.81382458079153e-15	Myeloid cell	GRN	Up
DDX21	1.22270106216097e-19	-0.494199020855709	0.312	0.44	2.20257369337678e-15	Myeloid cell	DDX21	Down
EIF5A	1.30222805640621e-19	-0.630009049579048	0.258	0.378	2.34583362081014e-15	Myeloid cell	EIF5A	Down
IDI1	1.34338624994362e-19	-0.722315466717441	0.159	0.264	2.41997599064844e-15	Myeloid cell	IDI1	Down
SLC7A1	1.48393149998976e-19	-1.69126190918217	0.021	0.067	2.67315420408156e-15	Myeloid cell	SLC7A1	Down
CD82	1.817918331247e-19	2.15202713929093	0.1	0.025	3.27479808190835e-15	Myeloid cell	CD82	Up
EDEM1	1.91348880183745e-19	-0.870631952235669	0.107	0.196	3.44695872762998e-15	Myeloid cell	EDEM1	Down
RABGEF1	2.04441983531341e-19	-0.98953721639775	0.101	0.188	3.68281789133358e-15	Myeloid cell	RABGEF1	Down
MCM8	2.10750406852264e-19	-1.7203312320294	0.017	0.059	3.79645782903668e-15	Myeloid cell	MCM8	Down
RPL3	2.13960229509922e-19	0.455368260306723	0.907	0.871	3.85427957439173e-15	Myeloid cell	RPL3	Up
LARP7	2.43215977390874e-19	-0.733523238241729	0.189	0.296	4.38129261671921e-15	Myeloid cell	LARP7	Down
SIVA1	2.43466263994615e-19	-0.713224345535144	0.18	0.289	4.38580127959899e-15	Myeloid cell	SIVA1	Down
OGT	2.58765697627655e-19	1.22522098394822	0.183	0.084	4.66140527706458e-15	Myeloid cell	OGT	Up
EIF1AX	2.77794635553636e-19	-0.596062404185247	0.218	0.334	5.00419256486319e-15	Myeloid cell	EIF1AX	Down
TMED10	3.12324000340263e-19	-0.715392182217854	0.197	0.305	5.62620454212951e-15	Myeloid cell	TMED10	Down
ATF4	3.3401366781178e-19	-0.388571500214625	0.421	0.561	6.01692221196141e-15	Myeloid cell	ATF4	Down
CEP78	4.84662734291237e-19	-1.31317302618015	0.037	0.094	8.73071449552235e-15	Myeloid cell	CEP78	Down
LGALS3BP	5.13977865356869e-19	6.41884111208115	0.055	0	9.25879726653865e-15	Myeloid cell	LGALS3BP	Up
ITGB2	5.14847292597404e-19	0.55737413293323	0.556	0.451	9.27445912884963e-15	Myeloid cell	ITGB2	Up
BRIP1	5.28571906600166e-19	-1.96082065633765	0.017	0.058	9.52169432549539e-15	Myeloid cell	BRIP1	Down
SPAG5	5.42533703871921e-19	-1.78971903607573	0.021	0.066	9.77320214154878e-15	Myeloid cell	SPAG5	Down
NBR2	5.97996049587468e-19	-1.25724444285092	0.042	0.102	1.07723008372687e-14	Myeloid cell	NBR2	Down
PKM	6.58797330241805e-19	-0.499174437115418	0.379	0.51	1.18675751069759e-14	Myeloid cell	PKM	Down
RPL13	7.20075431340008e-19	0.379453444895951	0.981	0.982	1.29714388201589e-14	Myeloid cell	RPL13	Up
IDH2	7.58424869876229e-19	-1.03515244042251	0.067	0.14	1.36622656059504e-14	Myeloid cell	IDH2	Down
MAGOH	7.88518686037367e-19	-0.761603627304047	0.115	0.206	1.42043756102771e-14	Myeloid cell	MAGOH	Down
CD2	8.39385010849072e-19	-1.4840666361114	0.017	0.059	1.51206815854352e-14	Myeloid cell	CD2	Down
IQGAP1	8.68748358892067e-19	-0.369893533372713	0.637	0.744	1.56496329370817e-14	Myeloid cell	IQGAP1	Down
TOMM6	8.7119576893253e-19	-0.710612738170795	0.188	0.295	1.56937205815506e-14	Myeloid cell	TOMM6	Down
ATXN8OS	9.33478726530899e-19	-0.777585672932149	0.137	0.233	1.68156857797276e-14	Myeloid cell	ATXN8OS	Down
SPN	9.36828013458715e-19	-0.469282736532617	0.28	0.408	1.68760198344453e-14	Myeloid cell	SPN	Down
HTATSF1	9.41557729708046e-19	-0.794430740971652	0.123	0.216	1.69612209429607e-14	Myeloid cell	HTATSF1	Down
HOXB6	1.16584722210084e-18	6.39360382058213	0.054	0	2.10015718589245e-14	Myeloid cell	HOXB6	Up
CA1	1.17040802395104e-18	-3.13126433297551	0.003	0.026	2.10837301434541e-14	Myeloid cell	CA1	Down
ATP2B1-AS1	1.19226664836296e-18	1.2674374500013	0.187	0.089	2.14774914036103e-14	Myeloid cell	ATP2B1-AS1	Up
PSMD14	1.37046594360832e-18	-0.831922923155389	0.103	0.189	2.46875735081602e-14	Myeloid cell	PSMD14	Down
ACSL3	1.43031325427973e-18	-1.04604493664826	0.067	0.139	2.57656629625951e-14	Myeloid cell	ACSL3	Down
MRPL47	1.48722010694648e-18	-0.914289925671375	0.105	0.19	2.67907830065338e-14	Myeloid cell	MRPL47	Down
ANXA2P1	1.4922066674957e-18	-0.900309898135639	0.088	0.169	2.68806109082675e-14	Myeloid cell	ANXA2P1	Down
NOL7	1.64009083252597e-18	-0.575453321660976	0.22	0.337	2.95445962571229e-14	Myeloid cell	NOL7	Down
C3orf14	1.68119272050414e-18	-6.53934907161259	0	0.014	3.02850056671616e-14	Myeloid cell	C3orf14	Down
PTPN11	2.03165701386753e-18	-0.750795185621065	0.16	0.26	3.65982694478097e-14	Myeloid cell	PTPN11	Down
SSB	2.0942740987758e-18	-0.657100470658095	0.187	0.294	3.77262536153473e-14	Myeloid cell	SSB	Down
NOLC1	2.10267163076247e-18	-0.903894235484678	0.084	0.163	3.78775267565551e-14	Myeloid cell	NOLC1	Down
NDUFA5	2.40836099749337e-18	-0.701993448409391	0.165	0.266	4.33842150088456e-14	Myeloid cell	NDUFA5	Down
UBE2C	2.43363370419138e-18	-1.79566130119107	0.014	0.053	4.38394775473035e-14	Myeloid cell	UBE2C	Down
ITGA4	2.47512440565652e-18	0.808603178047041	0.324	0.209	4.45868910434965e-14	Myeloid cell	ITGA4	Up
TNFAIP3	2.66109291200284e-18	-0.569429853063926	0.143	0.243	4.79369277168192e-14	Myeloid cell	TNFAIP3	Down
RPL36	2.69631333913274e-18	-0.323084837034839	0.592	0.734	4.85713884911371e-14	Myeloid cell	RPL36	Down
TPT1	2.77847960509291e-18	0.264202405344024	0.996	0.994	5.00515316061436e-14	Myeloid cell	TPT1	Up
ARL5A	2.82140136296556e-18	-0.846684396860453	0.115	0.203	5.08247241524615e-14	Myeloid cell	ARL5A	Down
HERC5	2.92399109005632e-18	-1.29106511714412	0.052	0.116	5.26727754962745e-14	Myeloid cell	HERC5	Down
BLOC1S1	2.95273921005081e-18	-0.67934903444001	0.202	0.309	5.31906441298552e-14	Myeloid cell	BLOC1S1	Down
TMEM14B	3.18937077604549e-18	-0.689573077470499	0.2	0.307	5.74533251596834e-14	Myeloid cell	TMEM14B	Down
MELK	3.22799128371141e-18	-2.0888505777453	0.012	0.048	5.81490349847774e-14	Myeloid cell	MELK	Down
MEGF9	3.27300321931698e-18	-0.732408395700446	0.272	0.38	5.89598799927761e-14	Myeloid cell	MEGF9	Down
UQCR10	3.42170882994462e-18	-0.56061286555828	0.293	0.411	6.16386628626224e-14	Myeloid cell	UQCR10	Down
NCF2	3.65555064633682e-18	0.606291333928045	0.38	0.26	6.58510893431115e-14	Myeloid cell	NCF2	Up
GABARAP	3.71256994085683e-18	-0.409972940522765	0.436	0.567	6.6878234914595e-14	Myeloid cell	GABARAP	Down
WDR26	3.94076049173837e-18	1.2668380186361	0.187	0.092	7.0988859498175e-14	Myeloid cell	WDR26	Up
NEXN	3.96927222114284e-18	-1.42467238785282	0.034	0.087	7.15024697916672e-14	Myeloid cell	NEXN	Down
LPAR6	4.40918184740662e-18	1.81357434866792	0.129	0.048	7.94270017991828e-14	Myeloid cell	LPAR6	Up
NPC2	4.70750208644131e-18	0.747871896786327	0.379	0.268	8.48009425851538e-14	Myeloid cell	NPC2	Up
APIP	5.21046759747851e-18	-1.09067432718657	0.074	0.146	9.38613633009779e-14	Myeloid cell	APIP	Down
SKI	5.25304627959411e-18	-1.3749713801009	0.036	0.091	9.46283756806083e-14	Myeloid cell	SKI	Down
VSIR	5.51866625215892e-18	0.808928967163466	0.393	0.284	9.94132538663908e-14	Myeloid cell	VSIR	Up
GLT1D1	5.59748231861813e-18	-2.14131799763943	0.009	0.042	1.00833046487587e-13	Myeloid cell	GLT1D1	Down
CENPM	5.80372185688208e-18	-1.63164362422251	0.023	0.069	1.04548245529874e-13	Myeloid cell	CENPM	Down
CENPN	5.96769942177055e-18	-1.16863860363895	0.049	0.112	1.07502137383775e-13	Myeloid cell	CENPN	Down
PER1	6.20974930286964e-18	-0.845261866531944	0.089	0.169	1.11862423941894e-13	Myeloid cell	PER1	Down
CST7	6.51443042530399e-18	-1.05312326682855	0.032	0.085	1.17350949681426e-13	Myeloid cell	CST7	Down
SEPT7	6.7150179240145e-18	-0.429847510130026	0.338	0.466	1.20964332883197e-13	Myeloid cell	SEPT7	Down
PAPD5	6.72277667051042e-18	-1.29388896947831	0.056	0.12	1.21104098942575e-13	Myeloid cell	PAPD5	Down
CLU	6.9163087237904e-18	1.64207593221303	0.137	0.054	1.2459038535036e-13	Myeloid cell	CLU	Up
MYB	7.64347447514917e-18	1.30207131502274	0.175	0.083	1.37689549195337e-13	Myeloid cell	MYB	Up
ESCO2	8.30489238018406e-18	-1.67019011477458	0.025	0.071	1.49604331336636e-13	Myeloid cell	ESCO2	Down
HLA-DQA1	8.63170554251633e-18	1.34870144155983	0.163	0.074	1.55491543642889e-13	Myeloid cell	HLA-DQA1	Up
SSBP1	8.7524516569895e-18	-0.601651582571124	0.213	0.321	1.57666664149009e-13	Myeloid cell	SSBP1	Down
ANXA2P2	9.5398083872045e-18	-0.686722839386585	0.183	0.286	1.71850108287102e-13	Myeloid cell	ANXA2P2	Down
M6PR	1.01447044696813e-17	-0.621738804697699	0.171	0.274	1.82746706316838e-13	Myeloid cell	M6PR	Down
HNRNPA1P10	1.11035349218714e-17	-0.767210762415472	0.126	0.217	2.00019078082591e-13	Myeloid cell	HNRNPA1P10	Down
PGK1	1.12877085519772e-17	-0.481725513134457	0.346	0.47	2.03336781855317e-13	Myeloid cell	PGK1	Down
SKA2	1.14211498145738e-17	-0.999607188500141	0.079	0.153	2.05740592759733e-13	Myeloid cell	SKA2	Down
CDC20	1.31851087357665e-17	-2.75275270972178	0.005	0.031	2.37516548766098e-13	Myeloid cell	CDC20	Down
HSPA9	1.36193799400489e-17	-0.669136591256982	0.187	0.29	2.45339510240041e-13	Myeloid cell	HSPA9	Down
CEBPZ	1.55945770759765e-17	-0.708003202988483	0.133	0.225	2.80920711446641e-13	Myeloid cell	CEBPZ	Down
EIF4A1	1.56956116260802e-17	-0.345044752241427	0.493	0.627	2.82740747832209e-13	Myeloid cell	EIF4A1	Down
MIF	1.59708365467452e-17	-0.485123644405884	0.352	0.473	2.87698649553068e-13	Myeloid cell	MIF	Down
XRCC6	1.77583618397505e-17	-0.581182247429232	0.252	0.366	3.19899130181266e-13	Myeloid cell	XRCC6	Down
FYB1	1.88561670008391e-17	0.61507015113623	0.409	0.286	3.39674992353116e-13	Myeloid cell	FYB1	Up
TMED2	1.91264305878742e-17	-0.628369939079954	0.221	0.327	3.44543520609966e-13	Myeloid cell	TMED2	Down
URI1	1.97319036822735e-17	-0.834778614984247	0.126	0.214	3.55450512932475e-13	Myeloid cell	URI1	Down
TPR	2.01756145698879e-17	-0.595065977773149	0.264	0.378	3.6344352086196e-13	Myeloid cell	TPR	Down
COX7B	2.24898378858254e-17	-0.416986516769266	0.456	0.58	4.0513193967526e-13	Myeloid cell	COX7B	Down
PCNT	2.2804752625546e-17	-0.843147729416227	0.091	0.17	4.10804813796586e-13	Myeloid cell	PCNT	Down
HSPA5	2.32228925357695e-17	1.50621818688576	0.587	0.564	4.18337186139353e-13	Myeloid cell	HSPA5	Up
CREBRF	2.38333317233524e-17	1.46407238477951	0.139	0.056	4.2933363766447e-13	Myeloid cell	CREBRF	Up
CCDC167	2.4164274943328e-17	-1.16685308974657	0.046	0.106	4.3529524882911e-13	Myeloid cell	CCDC167	Down
DBET	2.48680157964285e-17	1.10268635432428	0.233	0.133	4.47972436556863e-13	Myeloid cell	DBET	Up
UQCRH	2.79606706596974e-17	-0.423580076450554	0.334	0.463	5.03683521263789e-13	Myeloid cell	UQCRH	Down
MTDH	2.81644854532398e-17	-0.439892495352786	0.417	0.543	5.07355040954661e-13	Myeloid cell	MTDH	Down
RNASET2	2.96779862886029e-17	0.711840614031294	0.354	0.242	5.34619245002892e-13	Myeloid cell	RNASET2	Up
PARK7	3.14156531747676e-17	-0.498657541112119	0.275	0.394	5.65921576290263e-13	Myeloid cell	PARK7	Down
ODC1	3.23458966901931e-17	-1.2924411306785	0.038	0.093	5.82678982977138e-13	Myeloid cell	ODC1	Down
