p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
CENPE	0	0.434600430468963	0.36	0.055	0	4	CENPE
HIST1H2AJ	0	0.42675122304849	0.418	0.065	0	4	HIST1H2AJ
BIRC5	0	0.410243564254158	0.409	0.052	0	4	BIRC5
KIF11	0	0.405743600869068	0.423	0.064	0	4	KIF11
HMMR	0	0.401959256218376	0.338	0.038	0	4	HMMR
KNL1	0	0.387766437671975	0.353	0.053	0	4	KNL1
DLGAP5	0	0.327807260736426	0.298	0.035	0	4	DLGAP5
UBE2C	0	0.305141027530991	0.264	0.017	0	4	UBE2C
KIF15	0	0.303784433460447	0.318	0.035	0	4	KIF15
CCNA2	0	0.302038669168438	0.319	0.048	0	4	CCNA2
CDK1	0	0.288896867986247	0.302	0.039	0	4	CDK1
RRM2	0	0.281572144127991	0.285	0.037	0	4	RRM2
SKA3	0	0.281056472790361	0.287	0.04	0	4	SKA3
NCAPG	0	0.274869033131355	0.286	0.035	0	4	NCAPG
HIST1H2AM	4.23558153127386e-306	0.488979285565357	0.501	0.126	7.62997657043672e-302	4	HIST1H2AM
NUF2	1.62989865248541e-299	0.2509173125855	0.26	0.033	2.93609943258722e-295	4	NUF2
TMPO	3.85103359101544e-293	0.603244567137286	0.758	0.307	6.93725191085521e-289	4	TMPO
BUB1	3.04667686021679e-288	0.274624568540475	0.281	0.041	5.48828369599452e-284	4	BUB1
SMC4	7.31360659151736e-284	0.576475681852789	0.684	0.248	1.31747309139594e-279	4	SMC4
NUCKS1	2.40535086086089e-277	0.621646020023763	0.843	0.412	4.33299904075481e-273	4	NUCKS1
PTTG1	3.59947865923687e-276	0.325321845649522	0.35	0.067	6.48410085674931e-272	4	PTTG1
PRC1	1.10817733298732e-274	0.32568505668264	0.377	0.076	1.99627064764337e-270	4	PRC1
RAD51AP1	1.75263848553836e-268	0.304977764064043	0.319	0.057	3.1572029678488e-264	4	RAD51AP1
PCNA	2.45691499534869e-234	0.447893915276211	0.48	0.143	4.42588667262114e-230	4	PCNA
CKS2	2.5971442879538e-234	0.416270003936065	0.466	0.134	4.67849572031997e-230	4	CKS2
PTMA	9.35862848064612e-230	0.517198947322956	0.998	0.963	1.68586333450359e-225	4	PTMA
SMC2	3.78615062078781e-225	0.344726953016045	0.425	0.113	6.82037172828716e-221	4	SMC2
H2AFX	7.61584629489666e-222	0.275067568007071	0.259	0.045	1.37191855156268e-217	4	H2AFX
NCAPD2	8.23458954414216e-221	0.262956341379175	0.299	0.06	1.48337896048177e-216	4	NCAPD2
CENPU	1.31071800060442e-218	0.400695370527556	0.473	0.14	2.3611274062888e-214	4	CENPU
DHFR	3.29300354353502e-206	0.380170383090227	0.481	0.15	5.93201658332399e-202	4	DHFR
PRR11	2.93490151502941e-204	0.330317571774085	0.371	0.096	5.28693158917397e-200	4	PRR11
HIST1H1D	1.86539257356557e-203	0.669642931879632	0.701	0.325	3.36031818202102e-199	4	HIST1H1D
DUT	1.74218727255957e-198	0.550022105052477	0.711	0.338	3.13837615278881e-194	4	DUT
FANCI	2.68846000728812e-189	0.251174727666876	0.301	0.068	4.84299185712881e-185	4	FANCI
LMNB1	1.74767218753997e-184	0.314251892194116	0.42	0.128	3.14825667863451e-180	4	LMNB1
EZH2	1.64714671602236e-182	0.29531194084962	0.375	0.105	2.96717009424268e-178	4	EZH2
ATAD2	2.98484935107849e-180	0.346444365703995	0.429	0.134	5.37690762103279e-176	4	ATAD2
CKAP2	9.62155232316913e-160	0.291722906956028	0.375	0.115	1.73322643549569e-155	4	CKAP2
SGO2	1.15201326293365e-158	0.266944799866237	0.28	0.069	2.07523669184868e-154	4	SGO2
CBX5	4.91815789978243e-150	0.360754753398713	0.504	0.201	8.85956964066807e-146	4	CBX5
NASP	5.41455177513641e-150	0.386885813806557	0.643	0.307	9.75377356773073e-146	4	NASP
IGLL1	4.10797657267776e-149	0.378618710227561	0.3	0.083	7.40010899802172e-145	4	IGLL1
CLSPN	8.13155011707434e-148	0.267191777444618	0.306	0.085	1.46481743808977e-143	4	CLSPN
USP1	1.96210595513494e-146	0.34056567637766	0.52	0.212	3.53453766758007e-142	4	USP1
PRIM1	2.20255436154705e-141	0.279387770459175	0.393	0.134	3.96768142689086e-137	4	PRIM1
FAM111A	6.33930381031556e-140	0.299497811858034	0.46	0.175	1.14196218839024e-135	4	FAM111A
DNAJC9	2.25671543281969e-138	0.302903350648795	0.45	0.169	4.06524718068139e-134	4	DNAJC9
KIF20B	7.10265675026074e-136	0.306521886664956	0.382	0.131	1.27947258699197e-131	4	KIF20B
TACC3	2.63150199746598e-135	0.256667046062509	0.371	0.125	4.74038769823521e-131	4	TACC3
RAD21	9.79636638120293e-129	0.368328178115698	0.592	0.29	1.7647174399099e-124	4	RAD21
H2AFV	1.28120200461781e-124	0.326579392726663	0.543	0.251	2.30795729111852e-120	4	H2AFV
PPIA	2.40277688847869e-123	0.414157187263377	0.875	0.648	4.32836228690552e-119	4	PPIA
HIST1H1C	5.04874866216332e-122	0.440926389751621	0.561	0.27	9.09481584002101e-118	4	HIST1H1C
ARL6IP1	1.68322969807867e-121	0.500282496004109	0.554	0.281	3.03216997811892e-117	4	ARL6IP1
BRCA2	7.43530660417681e-116	0.256561787099634	0.327	0.11	1.33939613167641e-111	4	BRCA2
SIVA1	9.73946271445819e-109	0.279113147407848	0.478	0.213	1.7544668133825e-104	4	SIVA1
HNRNPA2B1	4.7254237133989e-104	0.368666425636942	0.895	0.704	8.51237827731678e-100	4	HNRNPA2B1
ANP32B	7.80312219849788e-104	0.329583900415888	0.714	0.424	1.40565443283741e-99	4	ANP32B
ANP32E	1.00425900243075e-102	0.308884398922869	0.529	0.258	1.80907216697875e-98	4	ANP32E
RAN	1.89038261501374e-100	0.304081100407693	0.659	0.37	3.40533524268576e-96	4	RAN
HMGA1	1.76866961229747e-94	0.261916236511789	0.518	0.256	3.18608143959266e-90	4	HMGA1
DEK	3.94090112782926e-94	0.32825224854625	0.651	0.374	7.09913929167163e-90	4	DEK
NREP	3.95610549406219e-90	0.251077623474531	0.376	0.16	7.12652843700364e-86	4	NREP
HIST1H1E	2.28645210561654e-89	0.348365705038988	0.557	0.306	4.11881482305763e-85	4	HIST1H1E
RBMX	4.16237507963333e-88	0.284798808987845	0.647	0.377	7.49810246845148e-84	4	RBMX
HP1BP3	1.30513853365179e-86	0.315460941659182	0.61	0.356	2.35107655452034e-82	4	HP1BP3
UBB	8.49583578716091e-86	0.375500057803603	0.862	0.669	1.53043985869917e-81	4	UBB
RANBP1	4.0372594289631e-79	0.258658483576879	0.464	0.235	7.27271913533413e-75	4	RANBP1
HNRNPA11	1.6578771105836e-77	0.292875165030047	0.905	0.732	2.9864998270053e-73	4	HNRNPA1
CALM21	5.20353919436492e-77	0.327920753955918	0.84	0.627	9.37365550472897e-73	4	CALM2
HSP90AA1	1.65633359138636e-76	0.369414179412327	0.878	0.704	2.98371933152338e-72	4	HSP90AA1
NONO	3.55145583302644e-76	0.255955338867589	0.607	0.362	6.39759253761382e-72	4	NONO
SNRPG	2.39359882060249e-74	0.258290241653571	0.536	0.3	4.31182891543332e-70	4	SNRPG
SRSF3	7.51720111228218e-73	0.292765066523522	0.719	0.481	1.35414860836651e-68	4	SRSF3
NUCB2	1.07013558111745e-72	0.289462298777904	0.66	0.408	1.92774223582498e-68	4	NUCB2
HMGN1	1.15559719892082e-68	0.268057177209781	0.667	0.429	2.08169279413597e-64	4	HMGN1
RPLP01	2.27381944492865e-65	0.267095025842987	0.987	0.95	4.09605834809448e-61	4	RPLP0
HNRNPA3	4.42098602938071e-63	0.258504570439629	0.719	0.491	7.96396423332642e-59	4	HNRNPA3
GAPDH1	6.8584383592745e-55	0.280996100395528	0.868	0.71	1.23547908603971e-50	4	GAPDH
HSPD1	3.47080528808421e-51	0.26090931008735	0.657	0.448	6.25230864595489e-47	4	HSPD1
SPINK21	2.84709469912994e-43	0.315200399990146	0.346	0.191	5.12875639101268e-39	4	SPINK2
CDK61	2.18713953915901e-39	0.265255856614106	0.601	0.418	3.93991316584104e-35	4	CDK6
HBB	0	4.0265823218083	0.772	0.136	0	5	HBB
HBD	0	2.22411561757304	0.643	0.021	0	5	HBD
CA1	0	1.80361085088745	0.618	0.01	0	5	CA1
HBA2	0	1.69958804536413	0.259	0.024	0	5	HBA2
AHSP	0	1.57614412050443	0.531	0.012	0	5	AHSP
HBA1	0	1.00515540613655	0.294	0.005	0	5	HBA1
TFRC	0	0.863147361282217	0.6	0.128	0	5	TFRC
CA2	0	0.73548364013216	0.396	0.052	0	5	CA2
RHAG	0	0.662186334639031	0.418	0.002	0	5	RHAG
BLVRB	0	0.625562132425349	0.525	0.087	0	5	BLVRB
REXO2	0	0.610166118313504	0.531	0.08	0	5	REXO2
PDZD8	0	0.607884331838778	0.524	0.113	0	5	PDZD8
TMEM14C	0	0.572595191373451	0.61	0.171	0	5	TMEM14C
CENPU1	0	0.56968113606272	0.571	0.138	0	5	CENPU
PRDX2	0	0.532802461289212	0.421	0.049	0	5	PRDX2
PRKAR2B	0	0.530160705725203	0.484	0.063	0	5	PRKAR2B
SPTA1	0	0.527764505508264	0.341	0.007	0	5	SPTA1
HMGN5	0	0.503891295361482	0.449	0.043	0	5	HMGN5
NFIA	0	0.458838014503229	0.407	0.038	0	5	NFIA
ANK1	0	0.446609836808135	0.397	0.003	0	5	ANK1
APOC1	0	0.438073454621304	0.38	0.003	0	5	APOC1
EPCAM	0	0.425486842285073	0.337	0.008	0	5	EPCAM
UROD	0	0.38845703344498	0.441	0.084	0	5	UROD
CDC42BPA	0	0.362899508899484	0.335	0.012	0	5	CDC42BPA
TPM1	0	0.359893390091619	0.361	0.026	0	5	TPM1
MYH10	0	0.354652099734967	0.331	0.014	0	5	MYH10
NECAB1	0	0.334114632732164	0.305	0.013	0	5	NECAB1
FECH	0	0.330837689677129	0.312	0.035	0	5	FECH
TMEM56	0	0.327037989645823	0.252	0.007	0	5	TMEM56
MINPP1	0	0.295704568329776	0.27	0.027	0	5	MINPP1
XK	0	0.27587287713117	0.262	0.004	0	5	XK
MBOAT2	0	0.270249043663763	0.262	0.028	0	5	MBOAT2
ALDH1A1	0	0.266975329894535	0.253	0.013	0	5	ALDH1A1
ELOVL6	0	0.2595169697691	0.253	0.019	0	5	ELOVL6
MPC2	2.22860694481743e-299	0.433986962434808	0.488	0.11	4.01461255039411e-295	5	MPC2
UBAC1	3.86907634780442e-296	0.349238697578979	0.353	0.057	6.96975413293488e-292	5	UBAC1
TMEM14B	5.19395612348099e-289	0.605268138220673	0.645	0.212	9.35639256083866e-285	5	TMEM14B
CENPF1	1.72528443620959e-270	0.677522104345077	0.551	0.148	3.10792738338796e-266	5	CENPF
SLC40A1	1.28162329801359e-266	0.34494949530425	0.362	0.066	2.30871620904168e-262	5	SLC40A1
PCLAF1	1.22056866165118e-252	0.52097020427876	0.591	0.177	2.19873238709844e-248	5	PCLAF
HMGB11	6.04542025117966e-235	0.736405382482904	0.943	0.754	1.0890220040475e-230	5	HMGB1
ALAD	2.99709945265952e-231	0.292123239742027	0.322	0.059	5.39897495402085e-227	5	ALAD
HSPD11	1.87597722012774e-226	0.720201181456087	0.792	0.443	3.37938536433811e-222	5	HSPD1
HBS1L	2.20370995573937e-222	0.34470035096326	0.416	0.1	3.96976311426891e-218	5	HBS1L
ATPIF1	3.93269946353634e-220	0.668728802544284	0.663	0.289	7.08436481361435e-216	5	ATPIF1
METAP2	2.84306134798493e-219	0.543803550855055	0.585	0.212	5.12149071226005e-215	5	METAP2
LXN	2.960368568704e-215	0.256734740560112	0.256	0.04	5.33280793966338e-211	5	LXN
DLGAP51	7.42513760701395e-214	0.324545546543106	0.253	0.04	1.33756428852749e-209	5	DLGAP5
SSX2IP	2.37582081019904e-213	0.258337673773779	0.276	0.047	4.27980360749254e-209	5	SSX2IP
DNAJC91	9.31043120224911e-213	0.452262944323884	0.533	0.167	1.67718107677315e-208	5	DNAJC9
GYPC	1.10026307562076e-208	0.402542943124283	0.494	0.145	1.98201390442324e-204	5	GYPC
YBX1	7.19643921063901e-208	0.573010476045514	0.972	0.895	1.29636655940451e-203	5	YBX1
PAICS	1.67120910343469e-207	0.447490837849955	0.556	0.187	3.01051607892724e-203	5	PAICS
AKR1C3	1.027001829387e-206	0.328727213299431	0.33	0.069	1.85004109545773e-202	5	AKR1C3
FAM210B	8.04699849223433e-202	0.2907792799602	0.312	0.063	1.44958630839109e-197	5	FAM210B
GLRX5	3.28601667585165e-197	0.296005324784357	0.341	0.076	5.91943043987917e-193	5	GLRX5
FBXO7	3.84322847707076e-192	0.294524421714917	0.356	0.083	6.92319177859528e-188	5	FBXO7
TFDP1	8.0692110644365e-191	0.348021026523265	0.384	0.098	1.45358768114759e-186	5	TFDP1
OAT	4.91604434212413e-186	0.285839378485307	0.316	0.069	8.8557622779024e-182	5	OAT
DDX1	8.10774107233469e-184	0.370292965715794	0.506	0.166	1.46052847677037e-179	5	DDX1
NPM1	2.02396612675998e-174	0.621894685397635	0.884	0.739	3.64597258074542e-170	5	NPM1
HIST1H2AJ1	4.79816895869938e-174	0.439871248424297	0.316	0.074	8.64342156220107e-170	5	HIST1H2AJ
CDK62	1.27796128840323e-171	0.631464263097069	0.759	0.411	2.30211946492958e-167	5	CDK6
HIST1H1B1	1.56390689100614e-171	0.872204878157023	0.509	0.18	2.81722187345845e-167	5	HIST1H1B
HSP90AA11	1.97398433080917e-171	0.691842700056046	0.908	0.704	3.55593537351964e-167	5	HSP90AA1
NCL	1.31439343706072e-170	0.657952458880028	0.85	0.633	2.36774833752118e-166	5	NCL
HLTF	1.2128831997995e-168	0.283707892058396	0.31	0.072	2.18488779611883e-164	5	HLTF
PRC11	2.96340366877729e-168	0.353892979269933	0.33	0.082	5.33827536893541e-164	5	PRC1
ZFP36L1	6.48990945625829e-167	0.359465833788521	0.344	0.087	1.16909228945037e-162	5	ZFP36L1
RIF1	2.15288444440213e-163	0.438892638215422	0.541	0.204	3.878206038146e-159	5	RIF1
HSPE1	5.13285532418074e-160	0.439235148719872	0.57	0.234	9.24632558097918e-156	5	HSPE1
CISD2	2.25188499114869e-154	0.302132184965059	0.376	0.109	4.05654562305524e-150	5	CISD2
PA2G4	2.63123344058869e-153	0.444446894286145	0.688	0.341	4.73990391987646e-149	5	PA2G4
CCT6A	9.11901473946318e-152	0.482128625426101	0.622	0.29	1.6426993151669e-147	5	CCT6A
SERBP1	1.55179309504632e-149	0.531385005992529	0.81	0.55	2.79540008141644e-145	5	SERBP1
SOD1	1.0140075204458e-147	0.443663933468156	0.677	0.341	1.82663314733107e-143	5	SOD1
HIST1H1D1	9.52319734693118e-147	0.692617325188504	0.655	0.331	1.71550877007618e-142	5	HIST1H1D
CCNA21	1.68464666099391e-144	0.253262453279418	0.251	0.055	3.03472249511443e-140	5	CCNA2
DHFR1	2.66214377075552e-144	0.363141274898051	0.449	0.156	4.795585788639e-140	5	DHFR
SLIRP	3.00286636693211e-143	0.386436645704392	0.545	0.227	5.4093634733915e-139	5	SLIRP
EIF1AY	2.5726079498863e-142	0.283642822755904	0.311	0.082	4.63429596092518e-138	5	EIF1AY
SUPT16H	3.50854165485217e-140	0.414584478789682	0.571	0.252	6.3202869370507e-136	5	SUPT16H
MKI671	7.4378940818462e-140	0.435402191522679	0.422	0.137	1.33986223990377e-135	5	MKI67
TUBB1	8.53419356516167e-140	0.424674000824561	0.665	0.311	1.53734962882822e-135	5	TUBB
HIST1H4C1	9.34204398037235e-138	0.840776454644397	0.781	0.468	1.68287580262427e-133	5	HIST1H4C
TOP2A1	4.78428644170591e-134	0.407618803284501	0.398	0.129	8.61841359608902e-130	5	TOP2A
NOP58	1.64288442656701e-133	0.412450987276627	0.616	0.293	2.95949200601781e-129	5	NOP58
RANBP11	2.02933277982441e-130	0.363946783144449	0.543	0.232	3.65564006957569e-126	5	RANBP1
MCM3	3.44341463983792e-127	0.272100108257035	0.371	0.119	6.20296713220403e-123	5	MCM3
PRKDC	4.02926585010273e-127	0.356433416875062	0.553	0.239	7.25831950237505e-123	5	PRKDC
MCM4	5.32230246686041e-127	0.294170190608927	0.403	0.137	9.58759566380234e-123	5	MCM4
NASP1	8.30375406272681e-127	0.398541827193949	0.635	0.311	1.49583825685961e-122	5	NASP
CKS21	2.08789986502905e-124	0.366642624692064	0.399	0.141	3.76114281686334e-120	5	CKS2
NDUFS5	2.41249378992242e-124	0.385130884669624	0.65	0.332	4.34586631316625e-120	5	NDUFS5
NAP1L4	4.71129645910684e-121	0.337563738700372	0.537	0.232	8.48692944143505e-117	5	NAP1L4
TPX21	6.47071438993351e-121	0.279099786398838	0.309	0.089	1.16563449020262e-116	5	TPX2
VBP1	3.57391066024339e-119	0.319361262172368	0.465	0.184	6.43804266336245e-115	5	VBP1
LRPPRC	9.50006186639565e-119	0.338624583426281	0.475	0.193	1.71134114461251e-114	5	LRPPRC
DUT1	2.3504119650635e-115	0.432268622652646	0.656	0.345	4.23403211386539e-111	5	DUT
PDCD4	5.61953064956533e-115	0.348685956936819	0.5	0.215	1.0123022512127e-110	5	PDCD4
EIF2AK1	1.19123777673849e-114	0.329216163910861	0.456	0.183	2.14589573101671e-110	5	EIF2AK1
HMGA11	2.29132667328664e-114	0.331386913448338	0.557	0.256	4.12759586925855e-110	5	HMGA1
TCEA1	1.68014458617294e-113	0.346923007633571	0.585	0.281	3.02661245753194e-109	5	TCEA1
EIF5B	2.97341888967947e-111	0.349212289510685	0.568	0.266	5.35631678786859e-107	5	EIF5B
RPL22L1	9.56953301451438e-110	0.383573453917499	0.6	0.309	1.72385567723462e-105	5	RPL22L1
GSPT1	1.25750133285959e-109	0.310480771939742	0.466	0.193	2.26526290101327e-105	5	GSPT1
TFDP2	2.37595073392126e-109	0.294336661275245	0.452	0.179	4.28003765208576e-105	5	TFDP2
PCNA1	2.49610970025466e-108	0.292755930628337	0.406	0.15	4.49649201403875e-104	5	PCNA
HSP90AB11	3.17620344266907e-107	0.433331568700586	0.846	0.689	5.72161288162407e-103	5	HSP90AB1
HMGB22	3.42212420678642e-106	0.538908382157715	0.839	0.575	6.16461454610506e-102	5	HMGB2
SMC21	7.53468342388381e-105	0.273441201448822	0.348	0.121	1.35729787197843e-100	5	SMC2
PTMA1	1.74976990194162e-103	0.340031133868425	0.965	0.965	3.15203550135763e-99	5	PTMA
EIF3A	2.06091228042943e-102	0.406351659183467	0.695	0.425	3.71252738196558e-98	5	EIF3A
CLEC2D	6.99549434332094e-100	0.331769374032812	0.629	0.342	1.26016835100583e-95	5	CLEC2D
STMN11	2.91515920979447e-99	0.30288910066847	0.627	0.31	5.25136780052375e-95	5	STMN1
CBX51	2.10249420600215e-98	0.293949608979648	0.474	0.206	3.78743306269227e-94	5	CBX5
HNRNPAB	8.19226322015235e-97	0.25382531794425	0.401	0.158	1.47575429647824e-92	5	HNRNPAB
ABCE1	1.0274485474785e-96	0.25058733626915	0.393	0.153	1.85084581342777e-92	5	ABCE1
HDGF	1.2244843745042e-95	0.305604652021781	0.539	0.261	2.20578615223186e-91	5	HDGF
TMPO1	6.58966774071621e-95	0.354741323289656	0.605	0.32	1.18706274681262e-90	5	TMPO
RAN1	6.68366536326818e-95	0.33745042231167	0.665	0.373	1.20399547853913e-90	5	RAN
ST13	1.79058621951002e-94	0.355783309619853	0.675	0.399	3.22556201582535e-90	5	ST13
NDUFB6	2.08670614926968e-94	0.256573744068983	0.445	0.189	3.75899245729441e-90	5	NDUFB6
AMD1	4.07329648659907e-94	0.314572289386205	0.545	0.273	7.33763629095957e-90	5	AMD1
CACYBP	6.45860545284304e-94	0.330012936918486	0.558	0.281	1.16345318627515e-89	5	CACYBP
GNL3	1.687429915802e-93	0.302647761702377	0.479	0.218	3.03973625032573e-89	5	GNL3
ZMYND8	2.67356463760438e-93	0.260111384429798	0.346	0.127	4.81615933818053e-89	5	ZMYND8
SSB	2.17617846345473e-91	0.291339142982302	0.504	0.24	3.92016788406735e-87	5	SSB
CBX3	1.8055000018118e-89	0.330496308356955	0.719	0.451	3.25242770326378e-85	5	CBX3
RPL14	3.47475287429877e-89	0.322343750547317	0.968	0.967	6.25941982776181e-85	5	RPL14
YWHAE	2.56252442812354e-87	0.324659425846037	0.749	0.489	4.61613150482174e-83	5	YWHAE
CD36	3.25789764942739e-87	0.313991064123643	0.513	0.235	5.86877682567849e-83	5	CD36
ATP5G1	3.91969842586058e-87	0.256947920336563	0.414	0.177	7.06094474434524e-83	5	ATP5G1
MYB	7.34199139802978e-86	0.2791149792486	0.462	0.209	1.32258633044109e-81	5	MYB
LOC100506844	1.73996795525758e-85	0.278601650734478	0.444	0.2	3.134378274601e-81	5	LOC100506844
XRCC5	3.55622996868689e-84	0.316707172400127	0.648	0.378	6.40619266559256e-80	5	XRCC5
SNRPD1	1.63467729321593e-83	0.268334823508098	0.501	0.244	2.94470767599918e-79	5	SNRPD1
UQCRQ	3.34763819100754e-83	0.316078517171704	0.639	0.372	6.03043543728098e-79	5	UQCRQ
SNRPE	4.91333970400667e-83	0.296706424928846	0.565	0.302	8.85089014279761e-79	5	SNRPE
NUCKS11	1.09128012854725e-81	0.307977529159946	0.703	0.424	1.96583202356501e-77	5	NUCKS1
NUDT4	3.38711045102127e-81	0.265479101793294	0.367	0.151	6.10154076646973e-77	5	NUDT4
H2AFZ1	1.24996737127923e-78	0.284803398539733	0.641	0.356	2.25169122262241e-74	5	H2AFZ
EIF5A	6.80079329185307e-77	0.264441706338471	0.547	0.292	1.22509490359441e-72	5	EIF5A
LDHB	1.10541576527336e-75	0.319679196774588	0.665	0.422	1.99129595956343e-71	5	LDHB
ANP32B1	5.4902813758696e-75	0.306382595661824	0.686	0.429	9.89019287049149e-71	5	ANP32B
SNRPG1	1.05172644073421e-74	0.303108469694696	0.547	0.302	1.89458001033861e-70	5	SNRPG
WBP11	1.47653230012694e-72	0.2509502020779	0.444	0.214	2.65982528544867e-68	5	WBP11
HSPA8	2.09607170596426e-71	0.384179423916618	0.712	0.494	3.77586357112402e-67	5	HSPA8
U2SURP	6.10081917750757e-70	0.27282474952405	0.571	0.322	1.09900156663621e-65	5	U2SURP
SMC41	4.04600800452869e-69	0.303753007626213	0.501	0.263	7.28847881935798e-65	5	SMC4
HNRNPA2B11	4.0498945129993e-69	0.291537838963039	0.882	0.706	7.29547997571693e-65	5	HNRNPA2B1
HNRNPA12	2.43449614458559e-66	0.320378187564849	0.859	0.736	4.38550135485648e-62	5	HNRNPA1
SKP1	3.96989079565242e-65	0.264308750079845	0.644	0.392	7.15136127928828e-61	5	SKP1
DEK1	2.03687022567828e-64	0.261805226473773	0.637	0.378	3.66921802453685e-60	5	DEK
NUSAP11	8.55224446673538e-63	0.28151532504025	0.311	0.131	1.54060131823771e-58	5	NUSAP1
TXN	1.68191172244309e-60	0.255881195884328	0.698	0.466	3.02979577680899e-56	5	TXN
SLC25A37	4.15087082928855e-57	0.56659045501435	0.42	0.232	7.47737871188038e-53	5	SLC25A37
RPLP0P21	4.41832665050496e-54	0.273347428124223	0.782	0.603	7.95917362821964e-50	5	RPLP0P2
MATR3	1.75437094942538e-46	0.252281295538828	0.739	0.568	3.16032382829487e-42	5	MATR3
HIST1H1C1	3.61805017333423e-40	0.29924502596114	0.46	0.279	6.51755558224428e-36	5	HIST1H1C
ELANE	0	1.7553010919913	0.823	0.125	0	6	ELANE
MPO	0	1.69350921986298	0.761	0.195	0	6	MPO
PRTN3	0	1.20939958046253	0.658	0.049	0	6	PRTN3
AZU1	0	1.01285047608155	0.665	0.115	0	6	AZU1
PRSS57	2.06196987139559e-281	0.504075647518821	0.565	0.146	3.71443252633202e-277	6	PRSS57
CTSG1	2.00711074983584e-246	1.24637396267467	0.494	0.138	3.61560930475428e-242	6	CTSG
CLEC11A	7.99415389812809e-229	0.438157554316084	0.579	0.175	1.44006688320879e-224	6	CLEC11A
CST7	3.00185647267075e-206	0.451103439038019	0.313	0.061	5.40754424986908e-202	6	CST7
POU4F1	7.02858796601652e-193	0.432996346818818	0.277	0.049	1.26612983619822e-188	6	POU4F1
CALR	1.56928785017574e-156	0.719862873636773	0.812	0.506	2.82691513330657e-152	6	CALR
LINC01835	4.45092892332565e-151	0.321403175394408	0.287	0.064	8.01790336247883e-147	6	LINC01835
SERPINB11	3.4320243808718e-144	0.552168011414741	0.88	0.546	6.18244871970246e-140	6	SERPINB1
MS4A3	4.87388787042856e-142	0.303858365425782	0.252	0.054	8.77982160979001e-138	6	MS4A3
IGLL11	2.40269535276634e-140	0.31986461859412	0.325	0.085	4.32821540847328e-136	6	IGLL1
RPS241	2.35329688891285e-132	0.406874154248415	0.997	0.982	4.23922901568761e-128	6	RPS24
RNASE3	1.05981343592644e-131	0.364408638431925	0.296	0.077	1.9091479234779e-127	6	RNASE3
NUCB21	1.95243977401905e-131	0.618899454651891	0.739	0.407	3.51712500891792e-127	6	NUCB2
GYPC1	3.7211350520205e-103	0.274007367780936	0.409	0.151	6.70325268270974e-99	6	GYPC
LRRC75A-AS11	1.61982033239985e-102	0.514401245005665	0.868	0.635	2.91794434678509e-98	6	LRRC75A-AS1
RPL37A1	1.66000015873651e-100	0.360715433811293	0.993	0.96	2.99032428594794e-96	6	RPL37A
RPS171	6.28380296483849e-96	0.335604725445929	0.988	0.95	1.13196426608601e-91	6	RPS17
RPS61	1.16315790394994e-94	0.287616055356951	1	0.999	2.09531264817543e-90	6	RPS6
RPL71	2.42602510035006e-94	0.319773260365084	0.991	0.947	4.3702416157706e-90	6	RPL7
RPL35	9.53395066392669e-94	0.321192676122174	0.987	0.96	1.71744587259975e-89	6	RPL35
RPL6	3.25321691866964e-91	0.292358022803572	0.994	0.978	5.86034495729149e-87	6	RPL6
RPL121	1.48520281696874e-88	0.340821032643739	0.997	0.974	2.67544435448749e-84	6	RPL12
RPS181	2.25005782805132e-84	0.328845422490345	0.998	0.991	4.05325417145165e-80	6	RPS18
EEF1B21	2.85036115823705e-84	0.396099078957476	0.967	0.904	5.13464059044823e-80	6	EEF1B2
RNASE21	5.03780655888563e-84	0.495452048192295	0.542	0.28	9.07510473517657e-80	6	RNASE2
RPL36A	5.09793569792306e-84	0.307989574653238	0.997	0.973	9.18342136623859e-80	6	RPL36A
MYB1	6.60765192836481e-84	0.264220159630364	0.475	0.21	1.19030241837564e-79	6	MYB
RPL13A1	5.65048888967655e-82	0.254740179366636	1	0.997	1.01787906858633e-77	6	RPL13A
RPL261	1.14848098649205e-81	0.305548888495787	0.995	0.985	2.06887364906677e-77	6	RPL26
RPS81	2.25487163643355e-80	0.285665724713785	0.999	0.994	4.0619257658714e-76	6	RPS8
FAM46A	3.71649646674448e-79	0.349663176140725	0.398	0.17	6.69489673519351e-75	6	FAM46A
RPS141	8.0346151565368e-79	0.28561190280081	0.997	0.989	1.44735557429854e-74	6	RPS14
RPL311	7.78721191210728e-78	0.264551358195439	0.999	0.993	1.40278835384701e-73	6	RPL31
EEF1A11	1.17199226040262e-77	0.265760090642517	1	0.999	2.11122685788928e-73	6	EEF1A1
NPM11	2.53811724902169e-76	0.306119121715566	0.933	0.737	4.57216441238767e-72	6	NPM1
RPS231	2.40332304001295e-74	0.267817704975138	0.995	0.985	4.32934612427933e-70	6	RPS23
RPL391	1.31125129360933e-70	0.27555023290967	0.996	0.983	2.36208808030784e-66	6	RPL39
RPL51	1.36649468847243e-70	0.2629483221563	0.997	0.983	2.46160353181423e-66	6	RPL5
RPLP02	2.73827341368504e-70	0.341531118336385	0.99	0.951	4.93272572741223e-66	6	RPLP0
RPL38	9.18191892765169e-70	0.322665984697496	0.937	0.826	1.65403087562718e-65	6	RPL38
RPS211	2.58475576117525e-69	0.270331472180869	0.979	0.954	4.6561790281811e-65	6	RPS21
