p_val	avg_log2FC	pct.1	pct.2	p_val_adj	threshold
CHD1L	6.78355890982064e-35	-0.691019927970681	0.091	0.147	1.22199030201509e-30	Down
CD1D	6.94381853139092e-35	1.31647460857624	0.06	0.025	1.25085947024476e-30	Up
TXN	7.31516421403177e-35	-0.268346859343503	0.433	0.524	1.31775368151568e-30	Down
TEX10	7.65876972947095e-35	-0.818287718212703	0.058	0.105	1.3796507790669e-30	Down
CDA	8.86861471203381e-35	1.89793036508367	0.034	0.009	1.59759225422577e-30	Up
MPP7	9.0887668190269e-35	1.26418915538926	0.065	0.029	1.63725045477951e-30	Up
FRMD3	9.98452686048425e-35	1.88888522548066	0.036	0.01	1.79861266864763e-30	Up
UPP1	1.07647158804338e-34	1.05176447988378	0.087	0.044	1.93915591870135e-30	Up
RCN1	1.11135046333923e-34	-0.605338890337608	0.104	0.163	2.0019867246593e-30	Down
DPPA4	1.12340410489958e-34	-1.4363752501069	0.019	0.05	2.0237001545661e-30	Down
MRPL19	1.12714863521271e-34	-0.692616225513719	0.078	0.131	2.03044555147217e-30	Down
C6orf48	1.16170303420204e-34	-0.378394624294767	0.281	0.362	2.09269184581155e-30	Down
UBTF	1.28064284679965e-34	-0.529360802885317	0.139	0.205	2.3069500242249e-30	Down
SLC35F2	1.39893195496005e-34	-1.15575960786092	0.032	0.07	2.52003602366504e-30	Down
FAM98B	1.59409734408123e-34	-0.704214227805082	0.082	0.136	2.87160695562792e-30	Down
GIMAP4	1.6136860656811e-34	0.913250512283708	0.081	0.04	2.90689407871794e-30	Up
C21orf59	1.61708157571535e-34	-0.615601531086535	0.119	0.18	2.91301075049363e-30	Down
KIF11	1.80710024131054e-34	-0.688443155212914	0.062	0.111	3.25531037469682e-30	Down
CD4	1.99187731752765e-34	1.24763553152042	0.067	0.03	3.58816779979431e-30	Up
UQCRHL	2.25962654070767e-34	-0.578659539512083	0.12	0.182	4.0704912504308e-30	Down
RPS2P32	2.43311070107184e-34	-0.573593268715503	0.12	0.182	4.38300561691081e-30	Down
ATPIF1	2.57289370285431e-34	-0.508103576275348	0.271	0.346	4.63481071632175e-30	Down
NACA2	2.59640920040029e-34	-0.35687588337368	0.259	0.341	4.67717153360109e-30	Down
NOL8	2.66569346876838e-34	-0.562370811928259	0.126	0.189	4.80198021463935e-30	Down
MZT2B	2.99404063960522e-34	-0.62087018459893	0.101	0.159	5.39346480818483e-30	Down
METTL9	3.09856172582136e-34	0.602236854951199	0.3	0.234	5.5817490928946e-30	Up
DLGAP5	3.10423858287165e-34	-1.09495633848105	0.032	0.07	5.59197538318498e-30	Down
CHST15	3.88743388394042e-34	2.56044242306929	0.027	0.005	7.00282339853027e-30	Up
BANF1	3.91132876418692e-34	-0.625943414273967	0.102	0.16	7.04586763580631e-30	Down
CD83	4.54673920530993e-34	1.47870655379448	0.051	0.02	8.19049600444531e-30	Up
BIRC5	4.9929323844337e-34	-0.921248188721234	0.052	0.097	8.99426839731887e-30	Down
HLA-H	5.32867804686563e-34	0.537002404153675	0.235	0.168	9.59908063362375e-30	Up
CISD2	5.57106537899342e-34	-0.684094674070558	0.095	0.151	1.00357171737188e-29	Down
MPP6	6.30440874303909e-34	-0.993558035061862	0.035	0.074	1.13567619097106e-29	Down
FAM198B	7.47114125910806e-34	1.44071456796838	0.05	0.019	1.34585138641573e-29	Up
UTP14A	7.84574287401823e-34	-0.817600714269957	0.061	0.108	1.41333212132564e-29	Down
ATIC	8.23413857257337e-34	-0.874099029223077	0.047	0.09	1.48329772246337e-29	Down
GAPDH	8.91439337611498e-34	-0.293770468066522	0.691	0.749	1.60583882277335e-29	Down
NEDD4	1.12599901241951e-33	-1.21356471688783	0.031	0.067	2.02837462097251e-29	Down
RNF213	1.15980069789528e-33	0.558362376307139	0.256	0.188	2.08926497718856e-29	Up
RPP40	1.26295746099669e-33	-1.30745276729093	0.022	0.054	2.27509157023944e-29	Down
PFDN5	1.296972516199e-33	0.256853122202173	0.764	0.748	2.33636629068088e-29	Up
C8orf59	1.34293669196372e-33	-0.373579133147881	0.224	0.301	2.41916615690345e-29	Down
ADD2	1.84304212096917e-33	-2.15739930040408	0.005	0.027	3.32005607671387e-29	Down
S100P	1.85820434814809e-33	1.47129608024424	0.047	0.017	3.34736931275396e-29	Up
DOK2	1.92926927646477e-33	1.04428140531597	0.079	0.039	3.47538567462364e-29	Up
METTL26	1.98797110565898e-33	-0.769905112422801	0.072	0.121	3.58113114973409e-29	Down
RETN	2.11302813756526e-33	1.01116338267365	0.081	0.041	3.80640888701007e-29	Up
UROS	2.22044746918531e-33	-0.815895188575006	0.052	0.097	3.99991407099043e-29	Down
NSD2	2.54428943849246e-33	-0.603390122620872	0.099	0.155	4.58328299450031e-29	Down
DCUN1D5	2.75672942584199e-33	-0.73169630862097	0.069	0.118	4.96597238771177e-29	Down
IFNGR2	3.02580686784799e-33	1.09756437384496	0.084	0.043	5.45068849174138e-29	Up
SLC24A4	3.1546573954261e-33	1.81941459410072	0.041	0.014	5.68279983212058e-29	Up
NUDCD1	3.45503294863166e-33	-0.740352429064053	0.053	0.097	6.22389635366508e-29	Down
RPL23P8	3.97967639082451e-33	-0.458758556077655	0.191	0.262	7.16898905043128e-29	Down
PSIP1	4.74999165078997e-33	-0.455706036490271	0.18	0.249	8.55663495973306e-29	Down
HIST1H2AJ	4.99699318797677e-33	-0.709924257428706	0.063	0.111	9.00158352882136e-29	Down
GNAI2	5.29888196913029e-33	0.561378407428292	0.255	0.188	9.54540597919131e-29	Up
LOC441081	6.89183848942257e-33	1.18290732379814	0.066	0.03	1.24149578548458e-28	Up
NDUFAF8	7.02813495152318e-33	-0.67383628057318	0.093	0.147	1.26604823016739e-28	Down
SF3B6	7.43693964345592e-33	-0.424023516482248	0.189	0.26	1.33969030737215e-28	Down
MRPL51	8.17331923332654e-33	-0.544994543645568	0.125	0.187	1.47234172669144e-28	Down
TCIRG1	8.85616954761187e-33	0.87981000117286	0.119	0.071	1.5953503823068e-28	Up
NAIP	1.38730451086746e-32	0.770910278839344	0.162	0.106	2.49909034587664e-28	Up
CST7	1.46525335928943e-32	-1.0532313742934	0.052	0.095	2.63950740142397e-28	Down
PXMP2	1.54828226120889e-32	-1.22369097911326	0.025	0.059	2.7890756653417e-28	Down
ACP1	1.55802573129834e-32	-0.443190228696375	0.173	0.242	2.80662755236083e-28	Down
CTSZ	1.56233732176385e-32	0.947774803017102	0.087	0.046	2.8143944514254e-28	Up
PSMA6	1.62000942793702e-32	-0.286502417391223	0.404	0.491	2.91828498348575e-28	Down
BPI	1.62535619781193e-32	1.44698821409192	0.027	0.006	2.92791665473842e-28	Up
TP53	1.75056450474794e-32	-0.917240992843761	0.047	0.088	3.15346689885294e-28	Down
COX7A2	1.80175603683329e-32	-0.267498418507392	0.405	0.496	3.24568332475149e-28	Down
POLR2F	2.26846400924694e-32	-0.709526773424577	0.072	0.122	4.08641106625744e-28	Down
SNHG1	2.61099816387791e-32	-0.717160289992584	0.074	0.124	4.70345209240967e-28	Down
FAM178B	2.78770531115743e-32	-3.71410354108372	0.001	0.017	5.021772347519e-28	Down
OSTF1	2.90402607289901e-32	0.741338024551871	0.155	0.101	5.23131256772028e-28	Up
WDR3	3.03185456399252e-32	-1.01390275885588	0.038	0.077	5.46158281157612e-28	Down
XRCC6	3.32500712970196e-32	-0.355844863437864	0.257	0.335	5.9896678434451e-28	Down
KIAA0513	3.72765888538479e-32	1.49068887541145	0.05	0.019	6.71500471613217e-28	Up
ELF1	4.05077781888512e-32	0.506259944419769	0.405	0.341	7.29707116293966e-28	Up
MDN1	4.08066484670982e-32	-0.703844627281031	0.075	0.125	7.35090965486308e-28	Down
FEN1	4.56843171152921e-32	-1.06688792754985	0.032	0.068	8.22957288514873e-28	Down
WDR76	4.67229670352483e-32	-1.07863513680172	0.033	0.069	8.41667528172963e-28	Down
RCN2	4.89645444215578e-32	-0.605132094168118	0.09	0.144	8.82047303209943e-28	Down
INTS13	4.99559526643925e-32	-0.767221570584349	0.057	0.102	8.99906531296367e-28	Down
TMEM107	5.37175296982974e-32	0.798105221751982	0.152	0.099	9.67667579985129e-28	Up
ZCCHC6	5.50373104546346e-32	0.777286485095647	0.171	0.115	9.91442110529787e-28	Up
YARS	5.8575771216377e-32	-0.728072407660297	0.072	0.121	1.05518394269181e-27	Down
TRMT112	6.11137779853173e-32	-0.447863579308369	0.193	0.263	1.10090359662751e-27	Down
EIF3A	6.27346328632351e-32	-0.301171827930914	0.398	0.48	1.13010167639832e-27	Down
BAZ1B	6.47351443590581e-32	-0.462854438549314	0.159	0.225	1.16613889048407e-27	Down
CENPK	6.77003119893066e-32	-0.740403507859608	0.06	0.106	1.21955342017537e-27	Down
RFC4	6.81353947615602e-32	-1.00297063528494	0.039	0.078	1.22739100123475e-27	Down
TPGS2	7.35156963845407e-32	-0.813978578414826	0.059	0.104	1.32431175467112e-27	Down
B3GALNT1	7.43506058311177e-32	-1.50186773478345	0.015	0.042	1.33935181344175e-27	Down
SRPRB	8.57985219442018e-32	-0.805712170305135	0.054	0.097	1.54557457430285e-27	Down
UTP11	8.73369719126716e-32	-0.63541650124759	0.083	0.135	1.57328821203487e-27	Down
SCHIP1	9.19991488921475e-32	-0.814210671600025	0.044	0.085	1.65727266814314e-27	Down
UQCC2	9.27761495082628e-32	-0.72281517812012	0.075	0.124	1.67126955724185e-27	Down
CEP70	1.01169810924958e-31	-0.851982815595227	0.045	0.086	1.8224729740022e-27	Down
TLR2	1.21660720427391e-31	0.892226637415512	0.108	0.063	2.19159621777903e-27	Up
HLA-F	1.25425858918838e-31	0.585852957237797	0.199	0.139	2.25942142256396e-27	Up
ODC1	1.4136166943381e-31	-0.775129253326196	0.059	0.104	2.54648911318065e-27	Down
FAM110A	1.44838193782723e-31	-0.512343862812263	0.137	0.199	2.60911522280197e-27	Down
ARPC3	1.62968939141322e-31	0.334550869154938	0.578	0.528	2.93572246969178e-27	Up
ADK	1.81847492938365e-31	-0.439297891214877	0.147	0.211	3.27580073779171e-27	Down
CYP1B1	2.06879500990496e-31	3.18738645422474	0.02	0.003	3.7267273308428e-27	Up
MDH1	2.09274928123448e-31	-0.455550877303849	0.163	0.23	3.76987855521578e-27	Down
MBOAT2	2.18487804775884e-31	-1.19924262533358	0.024	0.057	3.93583931523277e-27	Down
CASP1	2.29184101593885e-31	0.776061205093182	0.143	0.091	4.12852240611224e-27	Up
EIF5AL1	2.50338613613786e-31	-0.614184114205784	0.102	0.156	4.50959978563875e-27	Down
DNAJC12	2.55963548190167e-31	-1.69758845430071	0.01	0.034	4.61092735709768e-27	Down
TCEAL9	2.61814042571705e-31	-1.14575575421346	0.025	0.058	4.71631816288669e-27	Down
MINPP1	2.7343697194503e-31	-1.12302606585121	0.024	0.056	4.92569361261777e-27	Down
SRPK1	3.0314705820773e-31	-0.554858286122889	0.106	0.163	5.46089110655405e-27	Down
DNMT1	3.309536548008e-31	-0.445234330345507	0.178	0.245	5.9617991375816e-27	Down
CASP6	3.6658332573903e-31	-0.874105953898906	0.048	0.09	6.60363202986288e-27	Down
JAZF1	3.70203112143969e-31	1.19997109008908	0.056	0.024	6.66883886216145e-27	Up
MRPL16	3.79399134017901e-31	-0.584467138946325	0.104	0.16	6.83449600019847e-27	Down
SRSF2	4.6287482765663e-31	-0.342969269490526	0.233	0.309	8.33822714540653e-27	Down
WRN	5.15216593569527e-31	-0.852419521609946	0.041	0.08	9.28111171656146e-27	Down
KIAA1211	5.19672512684751e-31	-1.5880229561771	0.012	0.037	9.3613806435031e-27	Down
TTF2	5.89296678297545e-31	-0.717261351205289	0.067	0.114	1.0615590362852e-26	Down
ANAPC5	5.98186106912217e-31	-0.38678976055913	0.191	0.26	1.07757245299167e-26	Down
NIP7	6.38440740300233e-31	-1.04414311613395	0.033	0.069	1.15008714957684e-26	Down
DPYSL2	7.41382933552184e-31	0.703492222157189	0.178	0.122	1.33552721650091e-26	Up
CDH1	7.43699930281882e-31	-2.21056863970641	0.004	0.023	1.33970105440978e-26	Down
IL10RB	9.26681681001834e-31	0.65480152586764	0.171	0.115	1.6693243801567e-26	Up
GMPS	9.36560953897854e-31	-0.626412028942628	0.103	0.158	1.68712090235159e-26	Down
KDM7A	9.4378197804833e-31	1.12961850101084	0.069	0.033	1.70012885525626e-26	Up
UBL5	9.65466822149718e-31	-0.290105194954699	0.383	0.466	1.7391919334205e-26	Down
CTPS1	1.05985698120278e-30	-1.13042059258914	0.028	0.061	1.90922636593869e-26	Down
MTF2	1.14896810526319e-30	-0.470292990810033	0.111	0.168	2.0697511448211e-26	Down
KDM1A	1.15472337442405e-30	-0.62372400288828	0.082	0.133	2.08011868668748e-26	Down
TRAP1	1.160364127461e-30	-0.955188974083872	0.042	0.081	2.09027993920825e-26	Down
PCM1	1.18824847570416e-30	-0.300186117719081	0.323	0.405	2.14051080413347e-26	Down
RNU12	1.29248079139611e-30	1.64547709528304	0.04	0.014	2.32827489762096e-26	Up
CASP3	1.29538705767013e-30	-0.652067865218272	0.068	0.115	2.33351024568698e-26	Down
ATAD5	1.31832916128958e-30	-0.680298437685259	0.071	0.119	2.37483815114705e-26	Down
NOL11	1.77487045265273e-30	-0.722661165553712	0.059	0.103	3.19725163340863e-26	Down
RAPGEF6	1.78530095652503e-30	-0.763885513811104	0.076	0.124	3.21604114308419e-26	Down
YDJC	2.11572676760422e-30	-1.11603745308839	0.028	0.061	3.81127019916223e-26	Down
SELENOH	2.24542329747632e-30	-0.28335442472724	0.376	0.459	4.04490552807384e-26	Down
EIF3D	2.34075624618887e-30	-0.402236589587236	0.219	0.29	4.21663830188464e-26	Down
SNX18	2.3956148762105e-30	1.1145090015344	0.067	0.032	4.3154606380056e-26	Up
IRF2BP2	2.41701055341467e-30	0.540527788391248	0.409	0.352	4.35400281092118e-26	Up
PRKACB	2.65993374450372e-30	-0.455910398319428	0.147	0.209	4.791604647349e-26	Down
NSA2	3.03780227481049e-30	-0.352588417221116	0.226	0.299	5.47229701784361e-26	Down
CMTM6	3.14374085965931e-30	0.523333352475321	0.306	0.24	5.66313478459028e-26	Up
SLC12A2	3.18098236500123e-30	-0.989188280874386	0.037	0.073	5.73022163231322e-26	Down
MRPS26	3.7266262859413e-30	-0.9998580234176	0.032	0.067	6.71314459149465e-26	Down
PDCD11	3.80110267432541e-30	-0.811493454271344	0.05	0.091	6.84730635752979e-26	Down
TGOLN2	4.40820597279932e-30	0.499006848153316	0.343	0.279	7.94094223940069e-26	Up
APOBR	4.69390565650072e-30	1.03297336904977	0.068	0.033	8.4556016496204e-26	Up
CNPY2	5.52897174467629e-30	-0.473184314834422	0.135	0.195	9.95988970085988e-26	Down
BMI1	5.53521259573821e-30	-0.536385767746978	0.114	0.171	9.97113196996282e-26	Down
ARPC2	5.80802554440861e-30	0.269627105899107	0.667	0.626	1.04625772156977e-25	Up
RFC5	5.85630605604721e-30	-1.21624233595257	0.023	0.053	1.05495497293635e-25	Down
PRDX3	5.884161306654e-30	-0.454621801012055	0.144	0.206	1.05997281778065e-25	Down
PRDX1	6.79162454218359e-30	-0.513089154252081	0.158	0.22	1.22344324502895e-25	Down
XPO1	6.97392327662008e-30	-0.404884788357647	0.192	0.261	1.25628253905034e-25	Down
RN7SK	6.99907325626275e-30	-0.284004086309423	0.307	0.387	1.26081305638317e-25	Down
LIG1	7.41095661501244e-30	-0.85096693146352	0.045	0.084	1.33500972462834e-25	Down
SERPINB2	7.8245214974752e-30	1.69183982769607	0.054	0.024	1.40950930255518e-25	Up
ESCO2	8.60833640841559e-30	-1.05430580743998	0.031	0.065	1.55070572061198e-25	Down
H2AFY	9.99553290721994e-30	-0.284896705666891	0.469	0.547	1.8005952979066e-25	Down
SMYD3	1.15346149904157e-29	-0.729991584101382	0.055	0.098	2.07784554437349e-25	Down
TBCA	1.2303075903359e-29	-0.396701056256957	0.203	0.272	2.21627609323108e-25	Down
JAK2	1.52262672026782e-29	0.728394622285433	0.144	0.093	2.74285977389045e-25	Up
HSPA9	1.52925658585435e-29	-0.389001198401217	0.181	0.247	2.75480281375802e-25	Down
DCAF13	1.59416873614565e-29	-0.775071086940769	0.047	0.087	2.87173556129277e-25	Down
CENPM	1.76019774492333e-29	-1.17764514263288	0.025	0.057	3.17082021770489e-25	Down
LIMA1	1.80015591861198e-29	-0.795523465885036	0.048	0.087	3.24280087178762e-25	Down
AASDHPPT	1.80418007731137e-29	-0.680286533380624	0.074	0.121	3.25004999126869e-25	Down
ZBTB43	1.86143405131526e-29	1.00693114224504	0.088	0.048	3.3531873000393e-25	Up
CPM	2.07757595511641e-29	1.11398626225937	0.065	0.031	3.7425453255467e-25	Up
HAUS1	2.07850663958789e-29	-0.698960054823181	0.078	0.125	3.74422186055362e-25	Down
LSM3	2.19788612921759e-29	-0.361885448777214	0.224	0.296	3.95927207317256e-25	Down
FAM30A	2.23660783887326e-29	-0.463093481642148	0.106	0.161	4.02902536094628e-25	Down
WDR36	2.23906788889298e-29	-0.686565532027857	0.06	0.104	4.03345689505181e-25	Down
NBAS	2.38821874304892e-29	-0.814675762703826	0.046	0.086	4.30213724372832e-25	Down
PTX3	2.57058557567197e-29	2.51416857049261	0.025	0.006	4.63065285601549e-25	Up
CCNA2	2.59330185946061e-29	-0.835471205516718	0.046	0.085	4.67157396963235e-25	Down
MRPS17	2.60613470197637e-29	-1.11280260939435	0.025	0.056	4.69469105214024e-25	Down
MYH10	2.63280586307798e-29	-1.39951742153753	0.018	0.045	4.74273648174867e-25	Down
LILRB1	2.65912859284593e-29	1.39125363661576	0.047	0.019	4.79015424715265e-25	Up
XK	2.81547300970179e-29	-1.91092429499731	0.007	0.028	5.07179307967681e-25	Down
FECH	3.20288656333378e-29	-0.881120476834078	0.033	0.067	5.76967985518948e-25	Down
RAD51AP1	3.26672632920305e-29	-0.833353082938995	0.053	0.094	5.88468080942637e-25	Down
GATA2	3.4014593693173e-29	-0.90080380992151	0.037	0.072	6.12738890788819e-25	Down
GLRX5	3.74172509128565e-29	-0.721809626403159	0.068	0.113	6.74034357944197e-25	Down
BUB3	4.01997935801154e-29	-0.507173327899347	0.12	0.176	7.241590815522e-25	Down
TCF3	4.09994676983327e-29	-0.823411302579897	0.047	0.086	7.38564411117765e-25	Down
JPT2	4.43031931955665e-29	-0.990410084996189	0.033	0.068	7.98077722224934e-25	Down
PPAT	4.73561104293988e-29	-1.01606825059886	0.027	0.06	8.53072973275191e-25	Down
PUM3	5.50381891717126e-29	-0.522545631433863	0.108	0.162	9.91457939739231e-25	Down
PPP1R15B	6.14437921050426e-29	0.751428934325952	0.149	0.098	1.10684847098024e-24	Up
DDX18	6.23932079774708e-29	-0.436465833118663	0.179	0.243	1.12395124850616e-24	Down
BUB1B	6.32277502775166e-29	-0.997629922525483	0.025	0.056	1.13898469349918e-24	Down
IDS	9.8047622800045e-29	0.65617049143667	0.172	0.118	1.76622987712001e-24	Up
GTPBP4	1.16851804260565e-28	-0.504421451324809	0.112	0.167	2.10496840194983e-24	Down
ARL2	1.28444857291285e-28	-0.846967390700702	0.047	0.086	2.3138056592452e-24	Down
NDUFB11	1.52198665999257e-28	-0.378240146645132	0.193	0.26	2.74170676931061e-24	Down
ADSL	1.62296382966418e-28	-0.75004290661578	0.06	0.103	2.92360704275705e-24	Down
CREB5	1.73396977257132e-28	2.05260939647653	0.025	0.006	3.12357314830997e-24	Up
MRPL17	1.74790046669893e-28	-1.06796246918864	0.029	0.061	3.14866790071145e-24	Down
SKA3	1.75463328842419e-28	-0.924306990410423	0.037	0.073	3.16079640576734e-24	Down
NDUFC2	1.90280536346677e-28	-0.371390014081489	0.203	0.271	3.42771358174903e-24	Down
CAPRIN1	1.90436822750235e-28	-0.346780497771832	0.207	0.275	3.43052892502273e-24	Down
TSN	2.02184296326105e-28	-0.588320796880981	0.097	0.148	3.64214791401845e-24	Down
HMMR	2.25687019148911e-28	-0.790642639320838	0.039	0.075	4.06552596294848e-24	Down
WEE1	2.30635988395514e-28	-1.035570120137	0.031	0.065	4.15467669495678e-24	Down
SULT1A1	2.31700902452028e-28	0.873396193339682	0.096	0.056	4.17386005677083e-24	Up
CENPS	2.6638387468331e-28	-0.958830755157545	0.035	0.069	4.79863911854515e-24	Down
C3AR1	2.67137130153336e-28	1.86393759298409	0.031	0.009	4.8122082625822e-24	Up
LOC284454	2.73410435951326e-28	1.08793244246021	0.081	0.044	4.92521559322719e-24	Up
PTPN12	2.91601914547663e-28	0.764287679592542	0.123	0.077	5.2529168886616e-24	Up
PRDX4	3.31797800213717e-28	-0.551770558071862	0.075	0.122	5.9770055730499e-24	Down
PPA2	3.40184539468152e-28	-0.526905265126684	0.114	0.168	6.12808429397928e-24	Down
CPA3	3.52937142783758e-28	-0.928728954033215	0.03	0.062	6.35780969010662e-24	Down
RHOBTB3	3.69906387551615e-28	-0.939216672077765	0.032	0.065	6.6634936653548e-24	Down
MIB1	3.71987457905495e-28	-0.55736844132872	0.092	0.142	6.70098206670959e-24	Down
CYC1	3.8354729627714e-28	-0.509858466457535	0.122	0.177	6.9092209951364e-24	Down
NUDCD2	4.14945244771789e-28	-0.501595580947314	0.116	0.171	7.474823639319e-24	Down
TSR1	4.17431501473584e-28	-0.785889176666158	0.046	0.084	7.51961106754514e-24	Down
TGFBI	4.31282800571695e-28	2.05260939647653	0.026	0.006	7.76912836949851e-24	Up
SMIM10	4.31425770676753e-28	-1.24867857003169	0.021	0.05	7.77170383297104e-24	Down
COA4	4.41597506115214e-28	-0.761003430078933	0.052	0.093	7.95493747515946e-24	Down
FKBP3	4.42754931583284e-28	-0.377819244792375	0.205	0.272	7.97578733754128e-24	Down
WDR12	4.46083580475281e-28	-0.753871910985561	0.054	0.094	8.03574961868172e-24	Down
SEPT11	4.77361017457756e-28	-0.489532677269991	0.128	0.185	8.59918136848401e-24	Down
TOMM6	4.8382883949896e-28	-0.388782682377313	0.184	0.249	8.71569271473426e-24	Down
HEATR1	5.25836703412243e-28	-0.70771596096654	0.057	0.099	9.47242237526815e-24	Down
EIF3J	5.39260964484003e-28	-0.388078559157082	0.163	0.226	9.71424701421483e-24	Down
MRPS21	5.61561777048654e-28	-0.399915455064868	0.166	0.229	1.01159738517544e-23	Down
PTTG1	5.83114251505767e-28	-0.614504548388604	0.063	0.106	1.05042201266249e-23	Down
PDCD5	5.88780948443393e-28	-0.536516659729222	0.117	0.171	1.06063000052593e-23	Down
MYBBP1A	5.90883000750304e-28	-1.01442031762049	0.029	0.06	1.0644166375516e-23	Down
TGS1	6.67868113537975e-28	-0.564932163880915	0.086	0.135	1.20309761972731e-23	Down
DEFB1	6.95837036744997e-28	1.70355122244269	0.055	0.025	1.25348083799244e-23	Up
PSMA5	7.36717516689386e-28	-0.581830481532945	0.101	0.152	1.32712293456426e-23	Down
ORC6	7.43315432086246e-28	-0.983101795092022	0.035	0.069	1.33900841936016e-23	Down
LXN	7.71778357219839e-28	-1.07221824648012	0.035	0.069	1.39028153269582e-23	Down
GTF2I	7.73887231490502e-28	-0.347979159548658	0.243	0.315	1.39408045880699e-23	Down
THYN1	7.93415889346886e-28	-0.594184363488749	0.083	0.131	1.42925938306948e-23	Down
RPIA	8.23255964533296e-28	-0.661640387303014	0.068	0.113	1.48301329451028e-23	Down
FAM212A	8.3159594955152e-28	-1.07532726867335	0.021	0.05	1.49803694352211e-23	Down
MRPS31	8.66211784557042e-28	-0.615952036413226	0.074	0.12	1.56039390870106e-23	Down
CDKN2D	9.11119838252712e-28	0.974526874767736	0.076	0.041	1.64129127662843e-23	Up
PRPF19	1.03430656641835e-27	-0.74867333546155	0.058	0.1	1.86319984874601e-23	Down
CUTA	1.03766067382107e-27	-0.493093594702203	0.118	0.173	1.86924193782128e-23	Down
EIF3F	1.11603364466246e-27	-0.361947652870837	0.23	0.298	2.01042300749495e-23	Down
TIMM10	1.14096946271858e-27	-0.661159347651735	0.067	0.11	2.05534239014125e-23	Down
DSCC1	1.16698410659497e-27	-1.42155925297745	0.014	0.038	2.10220516962018e-23	Down
RFC3	1.32400240959686e-27	-0.937943240629713	0.042	0.078	2.38505794064778e-23	Down
C14orf166	1.3556639597022e-27	-0.389558589375538	0.18	0.245	2.44209305700754e-23	Down
MRPL11	1.39814208017464e-27	-0.615592872933573	0.082	0.13	2.5186131432266e-23	Down
PPP1R14B	1.51320027795478e-27	-0.986329638572954	0.033	0.066	2.72587898070775e-23	Down
VPS13A	1.56319939148777e-27	-0.552905344061994	0.088	0.137	2.81594738382606e-23	Down
NUSAP1	1.59201857032733e-27	-0.432601474546175	0.113	0.168	2.86786225258765e-23	Down
RFX7	1.62956082434427e-27	-0.714040221939519	0.048	0.087	2.93549086897377e-23	Down
TLR8	1.93877069965252e-27	1.68674473917939	0.033	0.011	3.49250153835405e-23	Up
STOM	1.96146867091527e-27	-0.41343678137814	0.133	0.191	3.53338966378677e-23	Down
GAA	2.14925771449433e-27	1.20274052855422	0.059	0.028	3.87167284689008e-23	Up
LMNB1	2.30525463635481e-27	-0.474651294262004	0.119	0.173	4.15268570192955e-23	Down
IL1R2	2.48988050375325e-27	2.27973857376344	0.024	0.006	4.4852707394611e-23	Up
MTSS1	2.49845827717048e-27	0.994432847482278	0.087	0.049	4.50072274049491e-23	Up
LUC7L3	2.62331946480527e-27	-0.28176095982787	0.372	0.449	4.72564768390022e-23	Down
NOL7	2.7269125901339e-27	-0.356014689080333	0.234	0.303	4.91226033986721e-23	Down
LY86	2.76402950988456e-27	0.656580776708643	0.157	0.106	4.97912275910604e-23	Up
TBL1XR1	2.76687059229144e-27	-0.334080274830451	0.174	0.238	4.9842406849538e-23	Down
C21orf33	3.03663984921916e-27	-0.53622475769013	0.096	0.146	5.47020302438339e-23	Down
H2AFJ	3.14467044591108e-27	0.665413088006993	0.155	0.105	5.66480934126421e-23	Up
SLC43A1	3.233988061305e-27	-1.34407418550675	0.014	0.038	5.82570609363484e-23	Down
AMOTL1	3.75686849567584e-27	-1.49616290431836	0.013	0.037	6.76762290811046e-23	Down
RNF219	3.81665993971545e-27	-0.859739605110696	0.037	0.072	6.87533121540341e-23	Down
MBD2	3.92763591739568e-27	0.614461036432902	0.152	0.102	7.07524334159657e-23	Up
PTPRJ	4.16276856057385e-27	1.05752419871837	0.063	0.031	7.49881128501773e-23	Up
EEF1E1	4.33639360530253e-27	-0.595095507972146	0.077	0.122	7.81157944059197e-23	Down
PNRC1	4.43420467989851e-27	0.428285047051772	0.331	0.267	7.98777631036918e-23	Up
EXTL2	4.69146878809288e-27	-0.958517228036701	0.028	0.059	8.45121187487051e-23	Down
ARV1	4.80272775324652e-27	-0.927746610782693	0.039	0.073	8.65163377469828e-23	Down
HSPA5	4.82990169022665e-27	0.943840766211495	0.5	0.469	8.70058490477429e-23	Up
CD48	4.95030039013879e-27	0.618419956599065	0.172	0.12	8.91747112279602e-23	Up
ITGA4	5.92846540857755e-27	-0.265272349194224	0.319	0.396	1.06795375870116e-22	Down
LAPTM4B	6.36362282058782e-27	-1.12818212039314	0.024	0.053	1.14634301490069e-22	Down
PNPT1	8.20961992513281e-27	-0.640915086209683	0.071	0.115	1.47888093331342e-22	Down
MRPS9	8.32053294219679e-27	-0.759594925242465	0.049	0.087	1.49886080420733e-22	Down
TIMELESS	8.66911133084209e-27	-0.861695584360076	0.036	0.069	1.56165371513789e-22	Down
ZNF534	8.7198529258323e-27	-0.961491583620551	0.033	0.065	1.57079430605943e-22	Down
TRIM38	8.80907116091497e-27	0.651834569048831	0.151	0.101	1.58686607892722e-22	Up
TET2	9.19370603086179e-27	0.600148357528006	0.191	0.137	1.65615420439944e-22	Up
SPTA1	1.20794370179891e-26	-0.62858090966717	0.013	0.036	2.17598978442056e-22	Down
NMU	1.24004238922162e-26	-3.51643354915851	0.001	0.015	2.23381235994382e-22	Down
